,name,pos,negative,sentiment_avg,%pos,%neg
0,tesla,204,322,0.03907420209701576,40,60
1,facebook,104,86,0.11172463242870838,50,50
2,trump,209,367,0.06046804201697858,40,60
3,china,101,345,0.04934084537784086,20,80
4,brazil,290,233,0.11748134617135574,60,40
5,brasil,173,343,0.07340950601670079,30,70
6,lula,141,309,0.03949242730006619,30,70
7,sergio moro,14,180,-0.008038503592627302,10,90
8,temer,160,328,0.021725163821826463,30,70
9,stf,137,382,0.02744473039688447,30,70
10,stj,141,373,0.038013201778766006,30,70
