UF	Codigo	Area_km2	Populacao	Densidade_demografica	Matriculas_ensino_fundamental	IDH	Rendimento_mensal_domiciliar_Reais
Acre	12	164124	894470	4.47	157646	0.663	890
Alagoas	27	27843.3	3351543	112.33	490587	0.631	731
Amapá	16	142471	861773	4.69	136185	0.708	880
Amazonas	13	1559170	4207714	2.23	705007	0.674	842
Bahia	29	564760	14930634	24.82	2034711	0.66	913
Ceará	23	148894	9187103	56.76	1198116	0.682	942
Distrito Federal	53	5760.78	3055149	444.66	377622	0.824	2686
Espírito Santo	32	46074.4	4064052	76.25	502059	0.74	1477
Goiás	52	340203	7113540	17.65	877593	0.735	1306
Maranhão	21	329642	7114598	19.81	1178949	0.639	636
Mato Grosso	51	903207	3526220	3.36	471613	0.725	1403
Mato Grosso do Sul	50	357146	2809394	6.86	404114	0.729	1514
Minas Gerais	31	586521	21292666	33.41	2511483	0.731	1358
Pará	15	1245870	8690745	6.07	1439788	0.646	807
Paraíba	25	56467.2	4039277	66.7	556248	0.658	929
Paraná	41	199299	11516840	52.4	1427218	0.749	1621
Pernambuco	26	98067.9	9616621	89.62	1301930	0.673	970
Piauí	22	251757	3281480	12.4	480126	0.646	827
Rio de Janeiro	33	43750.4	17366189	365.23	2003315	0.761	1882
Rio Grande do Norte	24	52809.6	3534165	59.99	467629	0.684	1057
Rio Grande do Sul	43	281707	11422973	37.96	1298736	0.746	1843
Rondônia	11	237765	1796460	6.58	269626	0.69	1136
Roraima	14	223645	631181	2.01	96582	0.707	1044
Santa Catarina	42	95730.7	7252502	65.27	851993	0.774	1769
São Paulo	35	248219	46289333	166.23	5367614	0.783	1946
Sergipe	28	21925.4	2318822	94.36	331297	0.665	980
Tocantins	17	277467	1590248	4.98	246183	0.699	1056
