ESTADO,POPULACAO_ESTIMADA,IDHM,PIB,IDHM_Educacao,IDHM_Educacao_categoria
DF,2974703,0.824,235497107.0,0.742,Alto
SP,43608681,0.7396284829721362,3072623.2120743035,0.6764984520123839,Medio
SC,7075494,0.7266881355932203,870037.9457627118,0.632206779661017,Medio
RJ,17202590,0.7087419354838709,6897193.29032258,0.6200752688172043,Medio
PR,11211365,0.7019249999999999,996412.255,0.6109775,Medio
RS,11329605,0.7092404809619238,818928.0320641282,0.5971022044088177,Medio
GO,6921161,0.6949837398373984,738587.1463414634,0.5960731707317073,Medio
ES,3847007,0.6921923076923077,1375342.358974359,0.5913589743589743,Medio
MT,3441998,0.684290780141844,878257.1489361703,0.5769929078014184,Medio
MG,21040662,0.6678780773739743,638492.3247362251,0.5568276670574444,Medio
CE,9075649,0.6166304347826087,752058.6086956522,0.5521195652173914,Medio
MS,2748023,0.6711012658227848,1162858.329113924,0.5503544303797469,Medio
AP,829494,0.6428125,896177.3125,0.5499375,Medio
TO,1555229,0.6399280575539569,227164.21582733814,0.5457769784172661,Medio
RN,3479010,0.6108502994011976,357250.5868263473,0.5164730538922156,Medio
RO,1757589,0.6440384615384616,758665.1153846154,0.5164230769230769,Medio
RR,137903,0.6102000000000001,176349.2,0.4992,Baixo
SE,2278308,0.5969333333333333,518226.2133333333,0.4897333333333333,Baixo
MA,7035055,0.576184331797235,393024.0921658986,0.4886221198156682,Baixo
PE,9112178,0.5930430107526882,879359.8225806452,0.4879193548387097,Baixo
BA,14812617,0.5924832535885167,618777.6315789474,0.48073444976076557,Baixo
PB,3996496,0.58503125,263790.13839285716,0.47528125,Baixo
PI,3264531,0.5710491071428572,184847.42410714287,0.4566919642857143,Baixo
AC,869265,0.5860909090909091,625051.0909090909,0.4522272727272727,Baixo
PA,8513497,0.5775069444444445,958805.5902777778,0.44554861111111116,Baixo
AL,3322820,0.5635,484866.29411764705,0.44274509803921563,Baixo
AM,4080611,0.5651129032258064,1435760.7096774194,0.43693548387096776,Baixo
